,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
54,CIFAR10,64,DATA PROCESSING,0.00016022752970457077,4.57793939858675e-05
55,CIFAR10,128,VGG11,0.0002517873654142022,6.866431795060635e-05
56,CIFAR10,128,VGG16,0.00034334941301494837,9.155494626611471e-05
57,CIFAR10,256,ResNet-20,0.0002365263644605875,5.340913776308298e-05
58,64x64x3,256,VGG11,0.00029756512958556414,0.0001145882997661829
59,MNIST,32,VGG11,0.0002712849823255388,9.301198380334037e-05
60,MNIST,256,ResNet-20,0.00012970867101103067,3.814883530139923e-05
61,CIFAR10,256,VGG16,0.0002983134472742677,7.62952258810401e-05
62,MNIST,256,VGG11,0.00011445290874689817,3.051955718547106e-05
63,CIFAR10,256,WRN16-4,0.00040438026189804077,9.938643779605627e-05
64,64x64x3,128,WRN16-4,0.0010450308909639716,0.0003207154804840684
65,64x64x3,32,WRN16-4,0.00120916087476034,0.00037204663431833663
66,MNIST,64,WRN16-8,0.0006409152410924435,0.00019074324518442154
67,CIFAR10,128,ResNet-56,0.0004349035443738103,0.00010681466665118933
68,64x64x3,256,DATA PROCESSING,4.577892832458019e-05,4.5779626816511154e-05
69,64x64x3,128,VGG16,0.0005951144266873598,0.00019835378043353558
70,MNIST,32,ResNet-20,0.0002635341315042405,0.00010851415849867321
71,MNIST,128,VGG11,0.00013733806554228067,4.577892832458019e-05
72,64x64x3,256,ResNet-56,0.0011673748958855867,0.00038900075014680624
73,MNIST,64,WRN16-4,0.00030520011205226183,9.918422438204288e-05
74,CIFAR10,64,VGG11,0.0002899364335462451,8.392857853323221e-05
75,CIFAR10,64,ResNet-20,0.0002823061076924205,8.392892777919769e-05
76,MNIST,64,VGG16,0.00028230645693838596,8.392834570258856e-05
77,64x64x3,128,DATA PROCESSING,4.577927757054567e-05,4.5779626816511154e-05
78,MNIST,64,ResNet-56,0.00037386943586170673,0.00011444382835179567
79,CIFAR10,32,WRN16-4,0.0005115665613658844,0.00016277082382686555
80,MNIST,64,ResNet-20,0.0001683708978816867,6.09405105933547e-05
81,64x64x3,64,ResNet-20,0.0004425380611792207,0.00016022368799895048
82,64x64x3,64,VGG11,0.0003662394592538476,0.00014496420044451952
83,64x64x3,128,ResNet-20,0.0004045808454975486,0.0001297122798860073
