,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
61,64x64x3,64,ResNet-56,0.0005721851484850049,0.00012417451944202185
62,64x64x3,32,ResNet-56,0.0007153844076489645,0.00019003285302056206
63,MNIST,64,DATA PROCESSING,7.151905447244644e-05,2.5535118766129017e-05
64,CIFAR10,64,ResNet-56,0.00046554149594157934,0.00010205816943198442
65,CIFAR10,256,ResNet-20,0.00023392366711050272,3.13448254019022e-05
66,MNIST,32,ResNet-56,0.0005151739432698204,0.0001663209663497077
67,CIFAR10,256,WRN16-8,0.0006051447708159685,4.65210760012269e-05
68,MNIST,256,WRN16-8,0.0004054958699271083,3.280746750533581e-05
69,64x64x3,128,VGG16,0.00043147243559360504,6.462412420660257e-05
70,MNIST,128,VGG11,0.00014751660637557507,2.5366665795445442e-05
71,CIFAR10,32,VGG11,0.0003845627818788801,8.624732967406984e-05
72,MNIST,128,ResNet-20,0.00012313318438827991,3.2308162190020084e-05
73,MNIST,256,VGG16,0.00016347365453839302,2.0769075490534306e-05
74,CIFAR10,64,ResNet-20,0.00030250276904553175,6.699957884848118e-05
75,MNIST,32,WRN16-8,0.0005601386702249921,9.2083854334695e-05
76,CIFAR10,256,VGG16,0.0002988079795613885,3.2398151233792305e-05
77,64x64x3,32,ResNet-20,0.00030428644210573225,0.00012178541648955572
78,MNIST,32,ResNet-20,0.0002636509755301097,0.00010160581460074772
79,64x64x3,128,WRN16-4,0.0005850145826116204,8.564896415919065e-05
80,CIFAR10,32,VGG16,0.0004964434201755221,9.389363584064303e-05
81,CIFAR10,64,VGG11,0.00032165495213121176,5.3176539950072765e-05
82,MNIST,32,VGG11,0.00025417915885410613,7.242685745632838e-05
83,MNIST,256,ResNet-56,0.00017540098633617163,3.074575215578079e-05
