,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
28,64x64x3,128,ResNet-56,0.0008813408203423023,0.00028773921076208353
29,CIFAR10,32,VGG16,0.0008990264364651271,0.0003242152077811105
30,CIFAR10,128,ResNet-56,0.0007853733841329813,0.00020789308473467827
31,64x64x3,32,WRN16-4,0.001087491356191181,0.0004674828951320951
32,MNIST,128,ResNet-56,0.0004815876018255949,0.0001560399541631341
33,CIFAR10,256,ResNet-20,0.00043039198499172926,9.133771527558565e-05
34,CIFAR10,32,WRN16-4,0.0009432043584566268,0.0003192987706926134
35,CIFAR10,128,VGG16,0.0005329351406544447,0.00013080693315714598
36,64x64x3,64,WRN16-8,0.0020798222394660115,0.0007534347241744399
37,CIFAR10,64,ResNet-20,0.0006830523489043117,0.0002251501427963376
38,MNIST,256,ResNet-56,0.00036059413105249405,9.092467371374369e-05
39,CIFAR10,64,VGG11,0.00053046690300107,0.000147372018545866
40,64x64x3,64,VGG11,0.00041083258111029863,0.00023791741114109755
41,MNIST,128,VGG11,0.00025275046937167645,7.536518387496471e-05
42,64x64x3,256,VGG11,0.0003100071335211396,0.00017953605856746435
43,64x64x3,128,DATA PROCESSING,9.470805525779724e-05,0.00010122579988092184
44,MNIST,256,VGG16,0.0002805488184094429,7.261300925165415e-05
45,MNIST,32,ResNet-20,0.000762574729465303,0.0002792903355189732
46,CIFAR10,128,VGG11,0.0004890593700110912,0.00011412880849093199
47,CIFAR10,64,WRN16-8,0.0010507695842534304,0.00032723392359912395
48,MNIST,64,WRN16-8,0.0007108161225914955,0.00024049810599535704
49,64x64x3,64,WRN16-4,0.0009399631526321173,0.00038575485814362764
50,64x64x3,64,VGG16,0.0006339286919683218,0.0003023011377081275
51,MNIST,64,WRN16-4,0.0004548394354060292,0.00014876306522637606
52,MNIST,256,WRN16-4,0.0003297077491879463,8.498446550220251e-05
53,MNIST,64,DATA PROCESSING,0.00017466710414737463,5.97506295889616e-05
54,MNIST,64,VGG16,0.00042509729973971844,0.00014257419388741255
55,64x64x3,64,ResNet-20,0.000481943367049098,0.00025514501612633467
56,64x64x3,256,ResNet-20,0.00038320536259561777,0.0001751704839989543
57,MNIST,32,WRN16-4,0.0006811370452245077,0.0002799725958279201
58,64x64x3,32,VGG11,0.0005533560400917416,0.0003186019640120249
59,64x64x3,256,DATA PROCESSING,8.75093974173069e-05,8.39203130453825e-05
60,CIFAR10,32,ResNet-56,0.0016832190846639966,0.0006025297537682548
61,CIFAR10,32,VGG11,0.0007587860501001752,0.0002798678146468268
62,MNIST,32,VGG16,0.000644942597737388,0.00025527723251827177
63,64x64x3,128,ResNet-20,0.000421060249209404,0.00019293546210974455
64,CIFAR10,128,WRN16-8,0.0009586503729224205,0.00027540663722902536
65,MNIST,128,WRN16-4,0.0003671228187158704,0.00010574329644441605
66,64x64x3,32,ResNet-56,0.0014892059659201002,0.0006407828085006229
67,64x64x3,128,VGG11,0.000343583058565855,0.0002024759305641055
68,CIFAR10,256,DATA PROCESSING,0.0003603083314374089,7.204897701740265e-05
69,MNIST,32,VGG11,0.0005051199169386001,0.00021204387857800438
70,CIFAR10,64,DATA PROCESSING,0.00038175692316144705,0.00010237435344606638
71,64x64x3,256,VGG16,0.0004992575850337744,0.00023200619034469128
72,64x64x3,128,WRN16-4,0.0008620417211204767,0.00033301813527941704
73,CIFAR10,32,WRN16-8,0.0012428566576942566,0.00041024221314324275
74,CIFAR10,64,WRN16-4,0.0007065969984978437,0.00022009736858308315
75,CIFAR10,256,VGG11,0.00048355874605476856,0.00010069156996905804
76,64x64x3,32,WRN16-8,0.0022505373945311893,0.0008620114790068732
77,CIFAR10,256,VGG16,0.0005007489817216992,0.0001243605511263013
78,MNIST,32,DATA PROCESSING,0.0002145428979207599,0.00010326410096789163
79,MNIST,128,ResNet-20,0.00031388283241540194,9.834114462137222e-05
80,CIFAR10,32,ResNet-20,0.0010282823017665318,0.0003670847841671535
81,64x64x3,32,DATA PROCESSING,0.00016468988051490178,0.00016341476686417111
82,MNIST,128,DATA PROCESSING,0.00013094034511595964,3.642565570771694e-05
83,MNIST,32,WRN16-8,0.0008640595608287387,0.00032070846784682504
