,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
38,CIFAR10,32,WRN16-8,0.0015845281027612231,0.0004186458767406524
39,CIFAR10,32,VGG16,0.0009107324812147352,0.0002831625086920602
40,MNIST,128,ResNet-20,0.00020209874492138624,6.7703309468925e-05
41,MNIST,32,VGG16,0.0006761964824464587,0.00021334489186604819
42,CIFAR10,256,ResNet-56,0.000737522728741169,0.00012729282025247812
43,MNIST,256,DATA PROCESSING,7.29413004592061e-05,2.343778032809496e-05
44,CIFAR10,64,WRN16-8,0.0012523127952590585,0.0003624849487096071
45,MNIST,256,ResNet-56,0.0005248415982350707,0.00010308518540114164
46,64x64x3,256,WRN16-8,0.007500797393731773,0.001151178847067058
47,MNIST,128,VGG16,0.000351139809936285,9.496998973190784e-05
48,64x64x3,128,WRN16-8,0.004063402186147869,0.00117399450391531
49,CIFAR10,128,WRN16-4,0.000656553078442812,0.00016391975805163383
50,CIFAR10,64,DATA PROCESSING,0.00023651286028325558,6.917491555213928e-05
51,64x64x3,256,ResNet-56,0.002293965546414256,0.0005253098206594586
52,64x64x3,128,ResNet-56,0.00200229964684695,0.0004752677632495761
53,MNIST,64,WRN16-8,0.001014592358842492,0.00029590283520519733
54,MNIST,128,WRN16-8,0.0009410204365849495,0.0002722797216847539
55,CIFAR10,256,ResNet-20,0.00039360998198390007,7.315527182072401e-05
56,MNIST,256,WRN16-8,0.0008987273322418332,0.00025444605853408575
57,MNIST,64,VGG16,0.00044787838123738766,0.0001311212545260787
58,CIFAR10,32,ResNet-56,0.000998321861501724,0.00028932354752979583
59,CIFAR10,64,ResNet-20,0.0003901092568412423,0.00011379108764231205
60,CIFAR10,256,VGG11,0.00034535268787294626,8.47449991852045e-05
61,CIFAR10,128,DATA PROCESSING,0.00022737192921340466,5.942850839346647e-05
62,MNIST,32,ResNet-20,0.00040875091439201717,0.00016690163858353147
63,MNIST,128,DATA PROCESSING,7.970607839524746e-05,3.1923409551382065e-05
64,MNIST,32,DATA PROCESSING,0.00013363290400732132,7.849233964132885e-05
65,MNIST,32,VGG11,0.00046046716826302666,0.00016062091740350875
66,64x64x3,32,WRN16-4,0.00221928209066391,0.0005648197635771736
67,CIFAR10,128,VGG11,0.00038239394780248404,9.510351810604334e-05
68,CIFAR10,128,VGG16,0.0005199278239160776,0.00013057980686426163
69,64x64x3,128,VGG11,0.0004893739242106676,0.00018478825222700834
70,64x64x3,128,DATA PROCESSING,7.807498332113028e-05,6.912101525813341e-05
71,MNIST,64,VGG11,0.00029927887953817844,9.376439265906811e-05
72,64x64x3,256,DATA PROCESSING,6.601773202419281e-05,6.64114486426115e-05
73,64x64x3,256,VGG16,0.0008699450409039855,0.0002828672295436263
74,MNIST,64,DATA PROCESSING,0.00010028283577412367,4.464178346097469e-05
75,64x64x3,32,DATA PROCESSING,0.0001215851969189114,0.00012918987444468906
76,64x64x3,128,WRN16-4,0.0016119545325636864,0.0004837396554648876
77,CIFAR10,128,WRN16-8,0.0012039236025884748,0.0003455227706581354
78,CIFAR10,64,ResNet-56,0.0006747067673131824,0.00017126125749200583
79,CIFAR10,256,WRN16-8,0.0011532474309206009,0.00031456106808036566
80,MNIST,256,WRN16-4,0.00042028340976685286,0.00010547379497438669
81,64x64x3,256,ResNet-20,0.0008300876943394542,0.00022040808107703924
82,64x64x3,256,VGG11,0.0004589993041008711,0.0001693287631496787
83,MNIST,128,VGG11,0.00022025522775948048,6.111746188253164e-05
