,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
55,64x64x3,32,WRN16-8,0.0025810879610833667,0.0007673510246806674
56,MNIST,256,WRN16-8,0.00054172333329916,0.00015259813517332077
57,64x64x3,256,WRN16-8,0.002646498382091522,0.0006950759561732411
58,64x64x3,128,WRN16-8,0.0024949793005362153,0.0007092069135978818
59,64x64x3,128,ResNet-20,0.00040438538417220116,0.00012970843818038702
60,CIFAR10,64,WRN16-4,0.000442535150796175,0.00012207834515720606
61,MNIST,64,WRN16-4,0.00030519638676196337,9.918876457959414e-05
62,64x64x3,32,VGG16,0.0008138567209243774,0.0002790365427259415
63,MNIST,256,VGG11,0.00011444918345659971,3.051955718547106e-05
64,64x64x3,64,WRN16-8,0.0024873492075130343,0.0007248414913192391
65,MNIST,128,VGG16,0.0002136373659595847,6.103911437094212e-05
66,64x64x3,128,WRN16-4,0.0010452971328049898,0.00032045599073171616
67,64x64x3,64,DATA PROCESSING,5.340983625501394e-05,6.103958003222942e-05
68,MNIST,128,WRN16-8,0.0005798728670924902,0.00016785820480436087
69,CIFAR10,128,WRN16-8,0.0007477308390662074,0.0002060075057670474
70,MNIST,32,VGG16,0.0003953019068354652,0.0001317668292257521
71,CIFAR10,64,ResNet-20,0.0002823071554303169,8.392869494855404e-05
72,64x64x3,64,ResNet-56,0.0011215959675610065,0.0003128263633698225
73,CIFAR10,256,DATA PROCESSING,0.00014496827498078346,3.0519673600792885e-05
74,CIFAR10,256,WRN16-4,0.00040438491851091385,9.918899741023779e-05
75,CIFAR10,32,ResNet-56,0.0007751019937651498,0.00019377552800708346
76,CIFAR10,256,ResNet-56,0.0003967549419030547,9.155902080237865e-05
77,MNIST,64,ResNet-56,0.0004043846856802702,0.00010681862477213144
78,CIFAR10,32,DATA PROCESSING,0.0001705228572800046,6.975884002352518e-05
79,64x64x3,64,WRN16-4,0.0010910764103755355,0.00034334592055529356
80,CIFAR10,256,ResNet-20,0.00023652694653719664,5.340948700904846e-05
81,64x64x3,128,ResNet-56,0.0010529269929975271,0.0002746767131611705
82,64x64x3,256,ResNet-20,0.00043490459211170673,0.00016022881027311087
83,CIFAR10,128,DATA PROCESSING,0.00015259790234267712,3.814930096268654e-05
